country,source_invasion_cost,source_rank,overall_rank,invasion_threat,invasion_cost,total_cost_rank,gdp_mean,gdp_proportion,prop_gdp_rank
China,222590000000,1,83,0.6086,117290000000,1,2552671000000,0.0459,40
USA,181730000000,2,33,0.8438,70381000000,2,12156820000000,0.0058,99
Japan,120750000000,3,72,0.6593,23490000000,5,4499994000000,0.0052,103
Germany,85864000000,4,87,0.5963,6481000000,21,2683917000000,0.0024,112
Italy,44228000000,5,123,0.1135,1447000000,42,1690781000000,9e-4,121
France,38159000000,6,61,0.7021,12532000000,9,2039069000000,0.0061,98
Korea,37620000000,7,NA,NA,14349000000,6,759097000000,0.0189,74
India,36913000000,8,98,0.5305,33065000000,4,844053000000,0.0392,47
Russian,34336000000,9,NA,NA,5084000000,24,786992000000,0.0065,96
United,25670000000,10,NA,NA,4005000000,27,2100502000000,0.0019,115
Brazil,24761000000,11,73,0.659,33760000000,3,953030000000,0.0354,52
Australia,24719000000,12,39,0.8071,7815000000,15,653024000000,0.012,84
Malaysia,22776000000,13,124,0.0766,333000000,89,145539000000,0.0023,113
Singapore,21726000000,14,23,0.8801,700000,124,125415000000,1e-5,124
Thailand,21170000000,15,62,0.6972,8066000000,14,183583000000,0.0439,42
Indonesia,17971000000,16,111,0.4479,9550000000,13,314522000000,0.0304,58
Saudi,16722000000,17,NA,NA,803500000,68,293502000000,0.0027,109
Spain,15984000000,18,120,0.3459,5576000000,23,1066190000000,0.0052,102
Netherlands,15769000000,19,80,0.6135,1981000000,37,613761000000,0.0032,107
Belgium,12299000000,20,85,0.6027,1351000000,47,360905000000,0.0037,105
Switzerland,9808000000,21,32,0.8461,924100000,63,378837000000,0.0024,110
Canada,9298000000,22,27,0.8613,6694000000,19,1070980000000,0.0063,97
South,8435000000,23,NA,NA,3922000000,28,210088000000,0.0187,75
Turkey,7899000000,24,95,0.5529,13267000000,7,439621000000,0.0302,59
Nigeria,7446000000,25,122,0.3194,10251000000,12,110790000000,0.0925,19
Sweden,7247000000,26,66,0.6866,546900000,78,352649000000,0.0016,118
Austria,6298000000,27,31,0.8481,1304000000,50,293944000000,0.0044,104
Argentina,6007000000,28,13,0.9423,13204000000,8,222943000000,0.0592,32
Iran,5907000000,29,67,0.6842,11276000000,11,200194000000,0.0563,36
