overall_rank,country,invasion_threat,invasion_cost.x,total_cost_rank,invasion_cost.y,gdp_mean,gdp_proportion,prop_gdp_rank
1,Mongolia,0.9922,64700000,111,65000000,2777000000,0.0233,69
2,Guinea-Bissau,0.9903,NA,NA,NA,NA,NA,NA
3,Nepal,0.9856,1411000000,44,1411000000,8411000000,0.1678,8
4,Bangladesh,0.9803,5623000000,22,5623000000,60967000000,0.0922,20
5,Cambodia,0.9688,1121000000,54,1121000000,6487000000,0.1728,7
6,Denmark,0.9659,1417000000,43,1417000000,244969000000,0.0058,100
7,Albania,0.9634,637200000,73,637000000,7864000000,0.081,22
8,Chile,0.9611,2095000000,36,2095000000,120502000000,0.0174,78
9,Mauritius,0.9595,227600000,98,228000000,6494000000,0.035,53
10,Vietnam,0.9542,7490000000,16,7490000000,55702000000,0.1345,11
11,Belarus,0.9473,1777000000,39,1777000000,30307000000,0.0586,33
12,Luxembourg,0.9456,64700000,112,65000000,36255000000,0.0018,117
13,Argentina,0.9423,13204000000,8,13204000000,222943000000,0.0592,32
14,Laos,0.9393,508200000,81,508000000,3134000000,0.1622,9
15,Moldova,0.938,387500000,87,388000000,3130000000,0.1238,12
16,Ukraine,0.9229,6953000000,17,6953000000,86051000000,0.0808,23
17,El Salvador,0.9184,NA,NA,NA,NA,NA,NA
18,Armenia,0.9053,336000000,88,336000000,5359000000,0.0627,28
19,Czech Republic,0.899,NA,NA,NA,NA,NA,NA
20,Mozambique,0.8959,1218000000,53,1218000000,6423000000,0.1897,5
21,Bosnia and Herzegovina,0.8812,NA,NA,NA,NA,NA,NA
22,Paraguay,0.8809,1012000000,59,1012000000,9127000000,0.1109,14
23,Singapore,0.8801,700000,124,1000000,125415000000,1e-5,124
24,Bulgaria,0.8794,1112000000,56,1112000000,29331000000,0.0379,49
25,Barbados,0.8762,20300000,119,20000000,2998000000,0.0068,93
26,South Africa,0.8646,NA,NA,NA,NA,NA,NA
27,Canada,0.8613,6694000000,19,6694000000,1070980000000,0.0063,97
28,Dominican Republic,0.8591,NA,NA,NA,NA,NA,NA
29,Finland,0.8564,600700000,74,601000000,189615000000,0.0032,108
30,Fiji,0.8539,87100000,110,87000000,2619000000,0.0333,56
31,Austria,0.8481,1304000000,50,1304000000,293944000000,0.0044,104
32,Switzerland,0.8461,924100000,63,924000000,378837000000,0.0024,110
33,USA,0.8438,70381000000,2,70381000000,12156820000000,0.0058,99
34,Madagascar,0.8385,1074000000,57,1074000000,5842000000,0.1838,6
35,Korea Republic of,0.8349,NA,NA,NA,NA,NA,NA
36,Norway,0.8333,419400000,84,419000000,288227000000,0.0015,120
37,Slovakia,0.8324,573400000,75,573000000,59518000000,0.0096,88
38,Azerbaijan,0.8311,730700000,71,731000000,19359000000,0.0377,50
39,Australia,0.8071,7815000000,15,7815000000,653024000000,0.012,84
40,Guinea,0.8054,977500000,60,978000000,3380000000,0.2892,3
40,Guinea,0.8054,977500000,60,114000000,513000000,0.2226,4
40,Guinea,0.8054,114300000,107,978000000,3380000000,0.2892,3
40,Guinea,0.8054,114300000,107,114000000,513000000,0.2226,4
41,Yemen,0.7974,806000000,67,806000000,16537000000,0.0487,38
42,Algeria,0.7924,2862000000,30,2862000000,98448000000,0.0291,63
43,Hungary,0.7876,1979000000,38,1979000000,99078000000,0.02,71
44,United Kingdom,0.7792,NA,NA,NA,NA,NA,NA
45,Latvia,0.7756,187300000,103,187000000,17470000000,0.0107,85
46,Tunisia,0.7691,949200000,61,949000000,31917000000,0.0297,60
47,Jamaica,0.7673,871700000,65,872000000,10813000000,0.0806,24
48,Estonia,0.7624,102100000,109,102000000,13669000000,0.0075,91
49,Mexico,0.76,11277000000,10,11277000000,812403000000,0.0139,81
50,Egypt,0.7581,6737000000,18,6737000000,112654000000,0.0598,31
51,Vanuatu,0.7529,23500000,118,23000000,401000000,0.0585,35
52,Ethiopia,0.7451,2312000000,34,2312000000,14344000000,0.1612,10
53,Iraq,0.7448,1234000000,51,1234000000,41518000000,0.0297,61
54,Lithuania,0.7366,392400000,86,392000000,25817000000,0.0152,80
55,Burkina Faso,0.7276,NA,NA,NA,NA,NA,NA
56,Uruguay,0.7216,509100000,80,509000000,20428000000,0.0249,68
57,Pakistan,0.714,6630000000,20,6630000000,110577000000,0.06,30
58,Sri Lanka,0.709,NA,NA,NA,NA,NA,NA
59,Morocco,0.7072,2531000000,31,2531000000,60211000000,0.042,44
60,Honduras,0.7056,794300000,69,794000000,10042000000,0.0791,25
61,France,0.7021,12532000000,9,12532000000,2039069000000,0.0061,98
62,Thailand,0.6972,8066000000,14,8066000000,183583000000,0.0439,42
63,New Zealand,0.6932,NA,NA,NA,NA,NA,NA
64,Georgia (Republic),0.6893,NA,NA,NA,NA,NA,NA
65,Congo (Republic of),0.6867,NA,NA,NA,NA,NA,NA
66,Sweden,0.6866,546900000,78,547000000,352649000000,0.0016,118
67,Iran,0.6842,11276000000,11,11276000000,200194000000,0.0563,36
68,Croatia,0.6841,755600000,70,756000000,43204000000,0.0175,77
69,Philippines,0.6805,4839000000,25,4839000000,113050000000,0.0428,43
70,Ireland,0.6741,277600000,94,278000000,184655000000,0.0015,119
71,Slovenia,0.6708,202000000,101,202000000,35224000000,0.0057,101
72,Japan,0.6593,23490000000,5,23490000000,4499994000000,0.0052,103
73,Brazil,0.659,33760000000,3,33760000000,953030000000,0.0354,52
74,Cape Verde,0.6448,NA,NA,NA,NA,NA,NA
75,Malawi,0.6387,1071000000,58,1071000000,3000000000,0.3569,1
76,Cameroon,0.6345,1574000000,41,1574000000,16009000000,0.0983,17
77,Trinidad and Tobago,0.6334,NA,NA,NA,NA,NA,NA
78,Peru,0.6288,1580000000,40,1580000000,82808000000,0.0191,72
